all,id,4wd_only,Alias,FIXME,FIXME1,FIXME:highway,FIXME:name,FIXME:old_railway_operator,FIXME:oneway,FIXME:railway,HFCS,NHS,NJDOT_SRI,PARK_NAME,SHAPE_LENG,TRL_LENGTH,Trail,Trail_Name,abandoned,abandoned:aeroway,abandoned:alt_name,abandoned:construction,abandoned:electrified,abandoned:frequency,abandoned:highway,abandoned:name,abandoned:oneway,abandoned:railway,abandoned:ref,abandoned:service,abandoned:start_date,abandoned:voltage,abutters,access,access:backward,access:conditional,access:delivery,access:disabled,access:forward,access:hgv,access:lanes,access:lanes:backward,access:lanes:both_ways,access:lanes:forward,access_aisle,access_control,addr:city,addr:country,addr:county,addr:housenumber,addr:interpolation,addr:postcode,addr:state,addr:street,addr:suburb,admin_level,admin_ref,aeroway,agricultural,alley,alt,alt_name,alt_name1,alt_name:en,alt_name_1,alt_name_2,amenity,animals,area,artist:website,artist:wikidata,artist_name,artwork_type,athletics,attraction,atv,backrest,barrier,base_material_values,bench,bicycle,bicycle:backward,bicycle:backward:conditional,bicycle:conditional,bicycle:forward,bicycle:forward:conditional,bicycle:lane,bicycle:lanes,bicycle_road,bike:safety,bike:scenic,bike_ride,bin,blaze,boat,boundary,brand,bridge,bridge:alt_name,bridge:movable,bridge:name,bridge:official_name,bridge:old_name,bridge:ref,bridge:source,bridge:start_date,bridge:structure,bridge:support,bridge_2,building,building:levels,bus,bus:backward,bus:conditional,bus:forward,bus:lanes,bus:lanes:backward,bus:lanes:forward,bus_bay,buses,busway,busway:right,button_operated,cable_number,camp_site,camping,capacity,caravan,carriage,center_turn_lane,centre_turn_lane,change,change:backward,change:forward,change:lanes,change:lanes:backward,change:lanes:forward,charge,check_date,check_date:bicycle,check_date:lanes,check_date:maxspeed,check_date:sidewalk,check_date:sidewalk:surface,check_date:smoothness,check_date:surface,city,class:bicycle,clopin:id,clopin:route,closed,colonnade:left,colonnade:right,colour,comment,condition,construction,construction:destination:lanes,construction:destination:ref:to:lanes,construction:highway,construction:lanes,construction:lanes:backward,construction:lanes:forward,construction:sidewalk,construction:surface,construction:turn:lanes,contact:email,contact:phone,contact:website,conveying,covered,created_by,cross,cross_country_ski,crossing,crossing:continuous,crossing:controlled,crossing:island,crossing:markings,crossing:markings:colour,crossing:signals,crossing_ref,currency:USD,curves,cutting,cycle_network,cycleway,cycleway:both,cycleway:both:buffer,cycleway:both:lane,cycleway:both:marking,cycleway:both:segregated,cycleway:both:width,cycleway:buffer,cycleway:crossing:markings,cycleway:crossing:markings:colour,cycleway:foot,cycleway:lane,cycleway:left,cycleway:left:buffer,cycleway:left:lane,cycleway:left:marking,cycleway:left:oneway,cycleway:left:segregated,cycleway:left:separation,cycleway:left:shared_lane,cycleway:right,cycleway:right:buffer,cycleway:right:lane,cycleway:right:marking,cycleway:right:oneway,cycleway:right:segregated,cycleway:separation,cycleway:surface,dcnr,demolished:highway,departures_board,depth,description,designation,destination,destination:backward,destination:forward,destination:lanes,destination:lanes:backward,destination:lanes:conditional,destination:lanes:forward,destination:ref,destination:ref:backward,destination:ref:forward,destination:ref:lanes,destination:ref:lanes:backward,destination:ref:lanes:forward,destination:ref:to,destination:ref:to:backward,destination:ref:to:forward,destination:ref:to:lanes,destination:ref:to:lanes:backward,destination:ref:to:lanes:forward,destination:street,destination:street:backward,destination:street:forward,destination:street:lanes,destination:street:lanes:backward,destination:street:lanes:forward,destination:street:to,destination:street:to:backward,destination:street:to:forward,destination:street:to:lanes,destination:symbol,destination:symbol:to:lanes,destination:to,destroyed:highway,difficulty,direction,disabled,distance,disused,disused:aeroway,disused:bridge,disused:cycleway,disused:cycleway:both,disused:cycleway:left,disused:cycleway:right,disused:highway,disused:lanes,disused:name,disused:oneway,disused:railway,disused:ref,divider,dog,dog:conditional,dog:leash:maxlength,drive_through,driveway,driving_side,ele,electric_bicycle,electrified,email,embankment,embedded_rails,emergency,end_date,end_date:railway,entrance,est_width,expressway,fee,fence_type,fine:parking,fire_path,fishing,fixme,fixme:name,fixme:tigerking,flashing_lights,floating,flood_prone,foot,foot:conditional,foot:lanes,footway,footway:crossing:markings,footway:surface,ford,ford:name,former:highway,fut_name,fut_ref,fut_ref:penndot,gate,gated,gauge,geometry,gnis:feature_id,golf,golf_cart,goods,hand_cart,handicap,handrail,handrail:center,handrail:left,handrail:right,hashtags,hazard,hazard:animal,hazard:bicycle,hazmat,hazmat:lanes,heritage,heritage:operator,hgv,hgv:backward,hgv:conditional,hgv:forward,hgv:lanes,hgv:lanes:backward,hgv:lanes:forward,hgv:minweight,hgv:national_network,hgv:state_network,hgv_articulated,highspeed,highway,highway_1,highway_authority_ref,hiking,historic,historic:highway,historic:railway,historic:surface,honk,honorary_name,horse,horse:advisory,horse:conditional,horse_scale,hov,hunting,ice_skates,imagery_used,incline,indoor,info,informal,information,inline_skates,inscription,intermittent,intersection,is_in,is_in:borough,is_in:city,is_sidepath,jumps,junction,junction:name,junction:noref,junction:ref,junction:ref:lanes,kerb,landuse,lane_markings,lanes,lanes:backward,lanes:backward:conditional,lanes:both_ways,lanes:bus,lanes:bus:backward,lanes:bus:forward,lanes:conditional,lanes:counterflow,lanes:forward,lanes:forward:conditional,lanes:reversible,layer,layer_1,lcn,leisure,length,level,lhv,line,line:colour,lines,lit,loc_name,location,locked,maintained,maintenance,man_made,mapillary,marked,marked_trail,marker,marking:lanes,massgis:ACCT_ID,massgis:ADA_ACCESS,massgis:ATV,massgis:BIKING,massgis:COUNTY,massgis:CROSS_COUN,massgis:EQUESTRIAN,massgis:FOUR_WHEEL,massgis:FROM_,massgis:HIKING,massgis:INTERPRETI,massgis:METHOD,massgis:MGMT,massgis:MGMT_ADDR,massgis:MGMT_CITY,massgis:MGMT_CON_1,massgis:MGMT_CON_2,massgis:MGMT_STATE,massgis:MGMT_WEBSI,massgis:MGMT_ZIP,massgis:NAME01,massgis:OFF_ROAD_M,massgis:RAILINE,massgis:RORT,massgis:SHAPE_Leng,massgis:SNOWMOBILE,massgis:STATUS,massgis:SURFACE,massgis:TO_,massgis:UPDATE_,material,maxgcweight,maxheight,maxheight:backward,maxheight:forward,maxheight:lanes,maxheight:physical,maxheight:shoulder:right,maxheight:signed,maxlength,maxlength:hgv,maxlength:hgv:conditional,maxlength:hgv_articulated,maxspeed,maxspeed:advisory,maxspeed:advisory:backward,maxspeed:advisory:forward,maxspeed:backward,maxspeed:bicycle,maxspeed:conditional,maxspeed:forward,maxspeed:hgv,maxspeed:hgv:backward,maxspeed:hgv:forward,maxspeed:lanes:backward,maxspeed:lanes:forward,maxspeed:signed,maxspeed:source,maxspeed:type,maxspeed:type:advisory,maxspeed:variable,maxweight,maxweight:combination,maxweight:combinations,maxweight:conditional,maxweight:description,maxweight:hgv,maxweight:hgv:conditional,maxweight:hgv_articulated,maxweight:note,maxweight:signed,maxweightrating,maxweightrating:hgv,maxwidth,maxwidth:physical,mooring,moped,mot,motor_vehicle,motor_vehicle:backward:conditional,motor_vehicle:conditional,motor_vehicle:forward:conditional,motor_vehicle:lanes:forward,motorcar,motorcar:backward,motorcycle,motorcycle:conditional,motorhome,motorhome:lanes,motorhome:lanes:backward,motorhome:lanes:forward,motorroad,motorroad:backward,mtb:scale,mtb:scale:imba,mtb:scale:uphill,name,name1,name2,name:ab,name:backward,name:de,name:en,name:etymology,name:etymology:wikidata,name:etymology:wikipedia,name:forward,name:fr,name:honorary,name:it,name:ja,name:ko,name:left,name:pl,name:prefix,name:pronunciation,name:railroad,name:railway,name:right,name:ru,name:source,name:zh,name:zh-Hans,name_1,name_1:forward,name_2,name_3,name_4,narro,narrow,nat_name,nat_ref,natural,nct_ref,network,network:wikidata,nht_ref,noexit,noname,noref,not:crossing,not:name,not:unsigned_ref,note,note:TIGER,note:alt_name,note:highway,note:lanes,note:maxweight,note:name,note:old_railway_operator,note:opening_date,note:rcn,note:source,notes,nrhp:inscription_date,obstacle,odbl,odbl:note,official_name,official_ref,ohv,old:tiger:tlid,old_name,old_name:-2025-02,old_name:-2025-02-20,old_name:railway,old_name:source,old_name_1,old_old_name,old_railway_operator,old_ref,old_ref1,old_ref2,old_ref:fap,old_ref:legislative,old_ref:penndot,old_ref_3,old_ref_legislative,one,oneway,oneway:bicycle,oneway:bus,oneway:conditional,oneway:emergency,oneway:foot,oneway_type,opened,openfire,opening_date,opening_hours,operational_status,operator,operator:short,operator:type,operator:wikidata,orientation,osmc:symbol,outdoor_seating,overgrown,overtaking,overtaking:backward,overtaking:forward,owner,ownership,parking,parking:both,parking:both:fee,parking:both:markings,parking:both:maxstay,parking:both:maxstay:conditional,parking:both:orientation,parking:both:restriction,parking:both:zone,parking:condition,parking:condition:both,parking:condition:both:default,parking:condition:both:maxstay,parking:condition:both:residents,parking:condition:both:time_interval,parking:condition:left,parking:condition:left:fee_per_hour,parking:condition:left:maxstay,parking:condition:left:residents,parking:condition:left:time_interval,parking:condition:maxstay,parking:condition:right,parking:condition:right:fee_per_hour,parking:condition:right:maxstay,parking:condition:right:residents,parking:condition:right:time_interval,parking:fee,parking:lane,parking:lane:backward,parking:lane:both,parking:lane:both:parallel,parking:lane:both:perpendicular,parking:lane:left,parking:lane:left:conditional,parking:lane:left:diagonal,parking:lane:left:parallel,parking:lane:right,parking:lane:right:capacity,parking:lane:right:diagonal,parking:lane:right:parallel,parking:left,parking:left:fee,parking:left:markings,parking:left:maxstay,parking:left:maxstay:conditional,parking:left:orientation,parking:left:restriction,parking:left:zone,parking:right,parking:right:fee,parking:right:maxstay,parking:right:maxstay:conditional,parking:right:orientation,parking:right:restriction,parking:right:zone,passing,passing_places,path,paved,paving_stones:length,paving_stones:shape,payment:cash,payment:e_zpass,payment:license_plate,payment:prepaid_ticket,pedestrian:crossing,penndot:ref,pet,phone,pier,piste:difficulty,piste:grooming,piste:type,placement,placement:backward,placement:both_ways,placement:end,placement:forward,placement:start,playground:theme,portage,postal_code,postal_code:left,postal_code:right,priority_road,proposed,proposed:bridge,proposed:destination:ref:lanes,proposed:highway,proposed:lanes,proposed:lanes:backward,proposed:lanes:forward,proposed:layer,proposed:name,proposed:surface,proposed:turn:lanes:backward,proposed:turn:lanes:forward,psv,psv:lanes,psv:lanes:backward,psv:lanes:forward,public_transport,railing,railway,railway:end_date,railway:historic,railway:name,railway:preserved,railway:service,railway:start_date,railway_name,ramp,ramp:wheelchair,rank,rcn,rcn_name,rcn_ref,ref,ref:US:NID,ref:backward,ref:bag,ref:deldot,ref:forward,ref:nhrp,ref:nrhp,ref:p,ref:pendot,ref:penndot,ref:penndot:backward,ref:penndot:forward,ref:to,ref_1,reference,reg_name,removed:bridge,removed:highway,removed:layer,removed:narrow,removed:tunnel,reporting_marks,restriction,restriction:conditional,restriction:hgv,resurvey,reversible:both_ways,reviewed,rht_ref,rideshare,rollerskates,roundtrip,route,running,sac_scale,sac_scale_ref,safety_rope,scenic,school_bus,seasonal,seats,segregated,separation:right,service,service_times,services,sett:shape,shared,shelter,shelter_type,short_name,shoulder,shoulder:left,shoulder:line,shoulder:right,shoulder:smoothness,shoulder:surface,shoulder:width,sidewalk,sidewalk:bicycle,sidewalk:both,sidewalk:both:bicycle,sidewalk:both:surface,sidewalk:left,sidewalk:left:bicycle,sidewalk:left:surface,sidewalk:left:wheelchair,sidewalk:right,sidewalk:right:surface,sidewalk:right:wheelchair,sidewalk:separate,sidewalk:surface,signed_direction,skateboard,ski,ski:nordic,skill rating,sloped_curb,smoking,smoothness,snowmobile,snowplowing,source,source:NHS,source:abandoned:railway,source:access,source:access_control,source:addr,source:alt_name,source:bicycle,source:boundary,source:bridge,source:bridge:start_date,source:construction,source:covered,source:crossing,source:cutting,source:cycleway,source:cycleway:left,source:cycleway:right,source:date,source:description,source:destination,source:dog,source:foot,source:footway,source:fut_name,source:geometry,source:geometry:date,source:hgv,source:hgv:forward,source:hgv:lanes,source:hgv:national_network,source:hgv:state_network,source:highway,source:image,source:imagery,source:junction,source:lanes,source:lcn,source:local_knowledge,source:maxheight,source:maxspeed,source:maxspeed:backward,source:maxspeed:forward,source:maxweight,source:maxwidth,source:motor_vehicle,source:name,source:name:backward,source:name:date,source:name:forward,source:name_1,source:names,source:noname,source:note,source:note:old_railway_operator,source:old_name,source:old_ref:fap,source:oneway,source:opening_date,source:operator,source:overtaking,source:owner,source:parking,source:parking:lane,source:portage,source:railway,source:railway:start_date,source:ref,source:ref:penndot,source:removed:bridge,source:sidewalk,source:smoking,source:start_date,source:surface,source:track,source:tracktype,source:tunnel,source:tunnel:name,source:turn:lanes,source:turn:lanes:backward,source:turn:lanes:forward,source:unsigned_ref,source:width,source:year,source_1,source_opened,source_ref,sport,sport_1,stairs,start_date,status,step_count,steps,stop,stroller,structure,students,substance,supervised,surface,surface:backward,surface:condition,surface:forward,surface:lanes,surface:lanes:backward,surface:lanes:forward,surface:middle,surface:note,surface_1,surface_2,surveillance,survey:date,symbol,tactile_paving,temporary:access,temporary:date_off,temporary:date_on,temporary:foot,theatre:type,tiger:cfcc,tiger:city,tiger:county,tiger:geometry:reviewed,tiger:mtfcc,tiger:name_,tiger:name_base,tiger:name_base1,tiger:name_base_1,tiger:name_base_2,tiger:name_base_3,tiger:name_base_4,tiger:name_direction,tiger:name_direction_prefix,tiger:name_direction_prefix_1,tiger:name_direction_prefix_2,tiger:name_direction_prefix_3,tiger:name_direction_prefix_4,tiger:name_direction_suffix,tiger:name_direction_suffix_1,tiger:name_direction_suffix_2,tiger:name_direction_suffix_3,tiger:name_direction_suffix_4,tiger:name_full,tiger:name_type,tiger:name_type1,tiger:name_type_1,tiger:name_type_2,tiger:name_type_3,tiger:name_type_4,tiger:reviewed,tiger:separated,tiger:source,tiger:tlid,tiger:upload,tiger:upload_uuid,tiger:zip,tiger:zip_left,tiger:zip_left_1,tiger:zip_left_2,tiger:zip_left_3,tiger:zip_left_4,tiger:zip_right,tiger:zip_right_1,tiger:zip_right_170,tiger:zip_right_2,tiger:zip_right_3,tiger:zip_right_4,tiger:zip_right_6,time,toll,toll:backward,toll:forward,tourism,tracks,tracktype,traffic_calming,traffic_sign,traffic_signals:arrow,traffic_signals:direction,traffic_signals:minimap,traffic_signals:sound,traffic_signals:vibration,trail,trail_type,trail_visibility,trailblazed,trailer,trailer:lanes,trailer:lanes:backward,trailer:lanes:forward,train,tram,transit,transit:backward,transit:forward,transit:lanes,transit:lanes:backward,transit:lanes:forward,tree_lined,trg,trolley_wire,truck,tunnel,tunnel:name,turn,turn:backward,turn:both_ways,turn:forward,turn:lanes,turn:lanes:backward,turn:lanes:backward:conditional,turn:lanes:both_ways,turn:lanes:conditional,turn:lanes:forward,turn:lanes:forward:conditional,turn:variable:lanes,turn:variable:lanes:forward,type,unsigned,unsigned_name,unsigned_ref,url,usage,use,vehicle,vehicle:conditional,verge,visibility,voltage,walking,was:highway,was:name,was:ref:penndot,water_crossing_level:foot,waterway,way,website,website:map,wheelchair,wheelchair:description,width,width:lanes:end,width:lanes:start,wikidata,wikimedia_commons,wikipedia,winter_road,winter_service,year_of_construction,zip_left,zip_right,label,quality
way,368034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-75.387726 39.8279755, -75.386001 39.8288732, -75.3858138 39.8289784, -75.3857175 39.8290547, -75.3856075 39.8291849, -75.3855418 39.8292929, -75.3855311 39.8293259, -75.385129 39.8305615, -75.3850565 39.8306714, -75.3850145 39.8307352, -75.3848686 39.8308667, -75.3846911 39.8309593, -75.3842198 39.8312161, -75.3839878 39.8312996, -75.3837007 39.8313857, -75.3835093 39.8314528, -75.3833033 39.8315517, -75.3830892 39.8316512, -75.3820377 39.8322056, -75.3815367 39.8324698, -75.3809555 39.8327763, -75.3798987 39.8333333, -75.379337 39.8336294, -75.3791534 39.8337074, -75.3788762 39.8337648, -75.3787688 39.8337871, -75.3783561 39.8338668, -75.3781832 39.833936, -75.3781444 39.8339553, -75.3779349 39.8340594, -75.3778233 39.8341415, -75.3777692 39.8342043, -75.3777659 39.8342502)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tertiary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seaport Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,silver
way,368041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-75.3578555 39.8475031, -75.3567627 39.8480424, -75.3563145 39.8483062, -75.3561689 39.8484215, -75.3560102 39.8485509, -75.3559685 39.8486042, -75.3558152 39.8488002, -75.3554719 39.8493076, -75.355011 39.8499151, -75.3549516 39.849979, -75.3548903 39.8500365, -75.3548298 39.8500838, -75.3545596 39.8502862, -75.3537116 39.8508079)",,,,,,,,,,,,,,,,,,,designated,,,,,,,,,,,,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Highway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,US 13;PA 291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.dot.state.pa.us/public/pubsforms/Publications/TruckersMap.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,silver
way,368043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-75.3506032 39.868744, -75.3505022 39.8684569, -75.3504378 39.8682675, -75.3503962 39.8681445, -75.3500325 39.8670723, -75.3499443 39.8668552, -75.3498336 39.8666233, -75.3496775 39.8663618, -75.3494902 39.8660952, -75.3483672 39.8646947, -75.3480631 39.8642229, -75.3479579 39.8640289)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tertiary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14'2""",,,,,,,,,,,35 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bullens Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,silver
way,368044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-75.3614741 39.8718974, -75.361183 39.8726768)",,,,,,,,,,,,,,,,,,,designated,,,,,,,,,,,,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chester Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PA 320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.dot.state.pa.us/public/pubsforms/Publications/TruckersMap.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,silver
